gene_symbol,Il1r1
parameter_name,Potassium
mouse_strain,C57BL
analysis_id,9b904vp7lx7v9q4
gene_accession_id,MGI:96545
pvalue,0.6510655
parameter_id,GMC_906_001_005
mouse_life_stage,Early adult
