analysis_id,0m91jn8cr73qz7a
parameter_name,Lens
mouse_life_stage,Early adult
gene_symbol,Arnt
gene_accession_id,MGI:88071
parameter_id,IMPC_EYE_016_001
mouse_strain,C57BL
pvalue,0.5893773
