analysis_id,csmq0dp9h06a06j
parameter_id,IMPC_GPO_002_001
gene_accession_id,MGI:109356
gene_symbol,Snap23
parameter_name,Placenta Morphology
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3980433
