analysis_id,41pb64i66311655
parameter_id,IMPC_OFD_012_001
gene_accession_id,MGI:1929242
parameter_name,Periphery permanence time
pvalue,0.9463789
mouse_strain,C57BL
gene_symbol,Ivd
mouse_life_stage,Early adult
