gene_symbol,Galk2
mouse_life_stage,Early adult
analysis_id,53v81668o9423js
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
gene_accession_id,MGI:1917226
mouse_strain,C57BL
pvalue,0.6532102
parameter_id,MGP_IMM_007_001
