analysis_id,7ieolt5r2gxnxxi
parameter_id,IMPC_IMM_069_001
pvalue,0.2670132
mouse_life_stage,Early adult
gene_symbol,Nanp
gene_accession_id,MGI:1914561
parameter_name,Transitional B Cells (CD21/35 low)
mouse_strain,C57BL
