gene_symbol,Dhdds
mouse_life_stage,Early adult
gene_accession_id,MGI:1914672
analysis_id,x312va484t8637w
pvalue,0.2537716
mouse_strain,C57BL
parameter_name,Eyelid morphology
parameter_id,IMPC_EYE_004_001
