gene_symbol,Ntmt2
analysis_id,43zg77aei9x0a16
pvalue,0.6831611
gene_accession_id,MGI:2685053
mouse_strain,C57BL
parameter_name,Right total retinal thickness
mouse_life_stage,Early adult
parameter_id,IMPC_EYE_062_001
