parameter_name,Phosphorus
parameter_id,HMGULA_CBC_010_001
analysis_id,952iz34ozn19y1n
gene_symbol,Atg4c
pvalue,0.9241185
gene_accession_id,MGI:2651854
mouse_strain,C57BL
mouse_life_stage,Early adult
