gene_symbol,Mms22l
gene_accession_id,MGI:2684980
pvalue,0.974746
analysis_id,3ifm6jwe2z53uyk
parameter_name,Narrow eye opening
mouse_strain,129SV
parameter_id,IMPC_EYE_006_001
mouse_life_stage,Early adult
