parameter_name,Response amplitude - S
parameter_id,IMPC_ACS_006_001
mouse_life_stage,Early adult
analysis_id,410a0l37n2em23r
gene_symbol,Dnajc5b
mouse_strain,C57BL
pvalue,0.6249323
gene_accession_id,MGI:1913576
