gene_symbol,Inka2
pvalue,0.4349192
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,jzn8g7v1394t21s
parameter_id,HRWLLA_CBC_014_001
gene_accession_id,MGI:1923497
parameter_name,Alkaline phosphatase
