analysis_id,x7fe0060krrg325
parameter_id,M-G-P_007_001_011
parameter_name,center - resting time
gene_accession_id,MGI:1923959
gene_symbol,Arpc2
mouse_strain,129SV
mouse_life_stage,Early adult
pvalue,0.3127312
