analysis_id,60w10026i89954d
gene_accession_id,MGI:95457
pvalue,0.4840308
mouse_life_stage,Early adult
mouse_strain,C3H
gene_symbol,Mecom
parameter_name,Others
parameter_id,IMPC_IMM_006_001
