analysis_id,685p4vs4kg5e322
gene_accession_id,MGI:1916846
gene_symbol,Ap5s1
parameter_id,IMPC_CBC_014_001
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Alkaline phosphatase
pvalue,0.5331707
