analysis_id,6pgaur58qcp1a52
parameter_id,MGP_IMM_001_001
gene_symbol,Dmap1
pvalue,0.05183208
mouse_strain,C57BL
gene_accession_id,MGI:1913483
mouse_life_stage,E12.5
parameter_name,Total T cells - % of CD45+
