gene_symbol,Hrnr
mouse_life_stage,Early adult
parameter_name,CD4+ alpha beta T cell percentage
analysis_id,bq8m8zj7oqmj533
gene_accession_id,MGI:3046938
mouse_strain,C57BL
pvalue,0.8092023
parameter_id,MGP_PBI_003_001
