parameter_name,Shape of ribcage
mouse_strain,C57BL
mouse_life_stage,Early adult
analysis_id,l1pw4t5ja17pl8a
gene_symbol,Sfpq
gene_accession_id,MGI:1918764
pvalue,0.1309483
parameter_id,IMPC_XRY_059_001
