parameter_name,Cornea
gene_symbol,Eprs1
gene_accession_id,MGI:97838
pvalue,0.5928285
analysis_id,20ht9dz7o3124qg
mouse_life_stage,E9.5
parameter_id,IMPC_EYE_007_001
mouse_strain,C57BL
