analysis_id,85t0nt591900271
parameter_name,Global prepulse inhibition
gene_symbol,Tnni1
pvalue,0.7505749
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,ESLIM_011_001_705
gene_accession_id,MGI:105073
