parameter_name,Heart weight
pvalue,0.1138438
analysis_id,sjsf00wm0z3k812
mouse_life_stage,Early adult
gene_symbol,Casq1
mouse_strain,C57BL
parameter_id,HMGULA_HWT_008_001
gene_accession_id,MGI:1309468
