gene_symbol,Rgs20
pvalue,0.5934771
mouse_life_stage,Early adult
analysis_id,5mf2gk3fa72u1k3
parameter_name,Lower teeth appearance
parameter_id,IMPC_CSD_070_001
mouse_strain,C57BL
gene_accession_id,MGI:1929866
