analysis_id,174999h3s07bfdo
parameter_name,Red blood cell count
gene_accession_id,MGI:1929866
mouse_life_stage,Early adult
gene_symbol,Rgs20
mouse_strain,C57BL
pvalue,0.1101552
parameter_id,IMPC_HEM_002_001
