analysis_id,ua7ur6p1g9k8x44
mouse_strain,C57BL
parameter_name,T cells - % of CD45+
pvalue,0.8996994
gene_accession_id,MGI:3033992
gene_symbol,Cldn19
parameter_id,MGP_BMI_019_001
mouse_life_stage,Early adult
