analysis_id,4de6q8tcc272nk7
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
gene_accession_id,MGI:2444554
mouse_life_stage,Early adult
parameter_id,MGP_MLN_006_001
gene_symbol,Mapkap1
mouse_strain,C57BL
pvalue,0.7131946
