Parameter_name,Total cholesterol
gene_accession_id,MGI:109384
gene_symbol,Atf3
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_015_001
pvalue,0.8218545
analysis_id,3t7fw09h570g63h
mouse_strain,C57BL
