analysis_id,10r04d90m0necu7
parameter_id,IMPC_HEM_002_001
gene_symbol,Tox
mouse_strain,C57BL
pvalue,0.2786449
gene_accession_id,MGI:2181659
parameter_name,Red blood cell count
mouse_life_stage,Early adult
