analysis_id,l25st3m38doqa32
parameter_name,Eye
mouse_life_stage,Early adult
parameter_id,M-G-P_013_001_001
gene_symbol,Dnajc8
pvalue,0.5787182
gene_accession_id,MGI:1915848
mouse_strain,C57BL
