analysis_id,6330c4hl9v4uy87
mouse_strain,129SV
parameter_name,Fusion of vertebrae
mouse_life_stage,Early adult
pvalue,0.08006305
gene_symbol,Nipal3
parameter_id,M-G-P_006_001_026
gene_accession_id,MGI:1921802
