analysis_id,hojx04h76k167nz
gene_accession_id,MGI:1929866
gene_symbol,Rgs20
pvalue,0.6261736
mouse_life_stage,Early adult
parameter_name,CD8+ alpha beta T cell percentage
mouse_strain,C57BL
parameter_id,MGP_PBI_004_001
