gene_accession_id,MGI:88071
gene_symbol,Arnt
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_IMM_006_001
pvalue,0.957227
parameter_name,Effector CD4+ T helper cells - % of CD4+ T helper cells
analysis_id,iagv8ssw8zba517
