parameter_name,Creatinine
gene_accession_id,MGI:95576
mouse_strain,C57BL
parameter_id,JAX_URI_002_001
analysis_id,v365s0x3a4269is
gene_symbol,Fpgs
mouse_life_stage,Early adult
pvalue,0.4332299
