parameter_id,HMGULA_CBC_018_001
mouse_strain,C57BL
gene_accession_id,MGI:1924054
gene_symbol,Kdm4c
parameter_name,Glucose
mouse_life_stage,Early adult
analysis_id,42edi3bw945xq6t
pvalue,0.5916284
