parameter_id,HRWLLA_CSD_008_001
mouse_life_stage,Early adult
gene_accession_id,MGI:1913483
parameter_name,Coat - color pattern - back
mouse_strain,C57BL
pvalue,0.7336069
gene_symbol,Dmap1
analysis_id,98dur05p43uxkd4
