parameter_name,Thoracic processes
analysis_id,6ht39a3i3lv9517
mouse_strain,C57BL
pvalue,0.5572315
mouse_life_stage,Early adult
gene_accession_id,MGI:1919949
gene_symbol,Lime1
parameter_id,IMPC_XRY_064_001
