parameter_id,MGP_BMI_006_001
parameter_name,Immature B cells (Hardy fraction E) - % of B220+
gene_symbol,Sgip1
gene_accession_id,MGI:1920344
mouse_life_stage,Early adult
analysis_id,3cz9dx527phglym
pvalue,0.7766942
mouse_strain,C57BL
