analysis_id,s9gh42b3uzq930h
parameter_name,Coat colouration
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,M-G-P_026_001_004
gene_symbol,Extl1
gene_accession_id,MGI:1888742
pvalue,0.798107
