analysis_id,11cih9ogwrbx08a
gene_accession_id,MGI:109384
pvalue,0.8473766
parameter_id,MGP_IMM_121_001
mouse_strain,C57BL
gene_symbol,Atf3
parameter_name,Macrophages - % of CD45+
mouse_life_stage,Early adult
