analysis_id,det6kd2o07k45ys
mouse_strain,C57BL
gene_symbol,Slc2a8
gene_accession_id,MGI:1860103
parameter_id,IMPC_ABR_004_001
mouse_life_stage,Early adult
pvalue,0.2973402
parameter_name,6kHz-evoked ABR Threshold
