parameter_id,UCDLA_EYE_017_001
analysis_id,1i6f7k66nrb8547
mouse_strain,C57BL
gene_accession_id,MGI:1920344
parameter_name,Lens Opacity
gene_symbol,Sgip1
mouse_life_stage,Early adult
pvalue,0.2517747
