gene_symbol,Car13
analysis_id,umsm781p25a610q
pvalue,0.6281298
mouse_life_stage,Early adult
parameter_name,CD11b-low cDC - % of cDC
gene_accession_id,MGI:1931322
mouse_strain,C57BL
parameter_id,MGP_IMM_067_001
