analysis_id,e40o5s6mt671118
pvalue,0.8584427
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Periphery average speed
gene_symbol,Zmynd19
parameter_id,ESLIM_007_001_009
gene_accession_id,MGI:1914437
