analysis_id,rk3fgrbry8c6t6p
parameter_name,KLRG1+ NK cells - % of CD45+
parameter_id,MGP_IMM_101_001
gene_symbol,Bpifa3
mouse_life_stage,Early adult
mouse_strain,129SV
gene_accession_id,MGI:1920638
pvalue,0.1774365
