parameter_name,Eosinophil differential count
mouse_life_stage,E9.5
analysis_id,8p3ou9c571993a0
gene_accession_id,MGI:1913483
mouse_strain,C57BL
pvalue,0.8802647
parameter_id,IMPC_HEM_035_001
gene_symbol,Dmap1
