analysis_id,1728y07l84s79n9
parameter_id,HMGULA_DYS_024_001
pvalue,0.6598409
mouse_life_stage,Late adult
parameter_name,Vibrissae - appearance
gene_symbol,Secisbp2l
gene_accession_id,MGI:1917604
mouse_strain,C57BL
