parameter_name,Corneal opacity
gene_symbol,Cntfr
parameter_id,IMPC_EYE_008_001
analysis_id,52862320524e919
mouse_life_stage,Early adult
pvalue,0.9743377
mouse_strain,129SV
gene_accession_id,MGI:99605
