analysis_id,j89092a59063i4z
parameter_name,Respiration Rate
parameter_id,IMPC_ECH_018_001
gene_symbol,Lpgat1
gene_accession_id,MGI:2446186
mouse_life_stage,Late adult
mouse_strain,C57BL
pvalue,0.8145647
