analysis_id,2baipwgwa82o3j5
gene_accession_id,MGI:3046938
mouse_strain,C57BL
parameter_name,Basophil differential count
pvalue,0.470304
gene_symbol,Hrnr
parameter_id,IMPC_HEM_038_001
mouse_life_stage,Early adult
