analysis_id,5lr8kk5704csvg8
mouse_strain,C57BL
parameter_name,Resting CD8+ T cells - % of CD8+
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:109356
gene_symbol,Snap23
pvalue,0.9096504
parameter_id,MGP_IMM_015_001
