gene_symbol,Trp53rkb
analysis_id,382qk9kq093obwk
pvalue,0.5967817
parameter_name,Hemoglobin
gene_accession_id,MGI:1914050
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_003_001
mouse_strain,C57BL
