analysis_id,652obk9d604d349
pvalue,0.5776758
gene_accession_id,MGI:1924360
gene_symbol,Gpbp1l1
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,IMPC_ABR_006_001
parameter_name,12kHz-evoked ABR Threshold
