analysis_id,638md0n1nr0wi91
gene_accession_id,MGI:1913405
gene_symbol,Ufc1
pvalue,0.5198684
mouse_strain,C57BL
parameter_name,Neural tube morphology
parameter_id,IMPC_GEL_060_001
mouse_life_stage,Early adult
