parameter_name,Pericardium Morphology
mouse_strain,C57BL
gene_accession_id,MGI:88328
analysis_id,6f6yss306s103t6
pvalue,0.8625825
parameter_id,IMPC_GEL_006_001
mouse_life_stage,Early adult
gene_symbol,Tnfsf8
