parameter_id,IMPC_GEL_027_001
analysis_id,1z7326496sfp445
pvalue,0.3827666
gene_accession_id,MGI:2443129
gene_symbol,Golm2
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Neural tube closure
