gene_symbol,Ahctf1
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Eosinophil number
pvalue,0.112841
analysis_id,v34iodb27n71px8
gene_accession_id,MGI:1915033
parameter_id,MGP_PBI_040_001
