gene_symbol,Dnajc5b
parameter_name,Startle response
gene_accession_id,MGI:1913576
mouse_strain,C57BL
parameter_id,HMGULA_SHI_009_001
mouse_life_stage,Early adult
pvalue,0.9636153
analysis_id,8c1g7jcgp6k9xsn
