gene_symbol,Ppm1j
gene_accession_id,MGI:1919137
pvalue,0.541525
mouse_life_stage,Early adult
analysis_id,f70554f8n7hf78o
parameter_name,Mean cell volume
mouse_strain,C57BL
parameter_id,ESLIM_016_001_005
