analysis_id,2bvu585f07e57u5
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Forelimb and hindlimb grip strength normalised against body weight
gene_symbol,Rgs20
pvalue,0.5283424
gene_accession_id,MGI:1929866
parameter_id,IMPC_GRS_011_001
