parameter_name,B1B Cells
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_064_001
analysis_id,wtjrjo0f2e7nb87
mouse_strain,C57BL
gene_symbol,Ddx27
gene_accession_id,MGI:2385884
pvalue,0.1745587
