parameter_name,Others
gene_accession_id,MGI:2685277
gene_symbol,Zyg11b
pvalue,0.3596797
mouse_life_stage,E18.5
mouse_strain,C57BL
analysis_id,o26t3338567d91x
parameter_id,IMPC_IMM_006_001
