analysis_id,2321ug6h13586p5
parameter_name,KLRG1+ gd T cells - % of CD45+
gene_symbol,Slc45a3
parameter_id,MGP_IMM_089_001
mouse_strain,C57BL
gene_accession_id,MGI:1922082
pvalue,0.7134931
mouse_life_stage,Early adult
