parameter_name,Neutrophils
gene_accession_id,MGI:1919107
analysis_id,sns624ks30oy1h1
gene_symbol,Slc17a9
mouse_strain,C51BL
mouse_life_stage,Early adult
pvalue,0.758099
parameter_id,IMPC_IMM_050_001
