analysis_id,y29wfayht45d449
parameter_id,M-G-P_005_001_001
gene_symbol,Snrpb2
parameter_name,Weight
mouse_life_stage,Early adult
pvalue,0.05680773
mouse_strain,C57BL
gene_accession_id,MGI:104805
