gene_symbol,Pum1
parameter_id,ESLIM_011_001_705
parameter_name,Global prepulse inhibition
mouse_life_stage,Early adult
pvalue,0.8501693
mouse_strain,C57BL
gene_accession_id,MGI:1931749
analysis_id,m2tl10936z8t8oc
